Date,Time,Location,LOCATION,LOCATION_EXACT,Operator,OPERATOR_TYPE,Flight #,Route,FROM,FROM_LONGITUDE,FROM_LATITUDE,FROM_STATE,TO,TO_LONGITUDE,TO_LATITUDE,TO_STATE,Type,Registration,cn/In,Aboard,Fatalities,Ground,Summary,Reason,Crash_ID
1/4/2009,14:00,"Off Crimond, Scotland",Off Crimond,Scotland,Bond Offshore Helicopters,Others,,Miller field - Aberdeen,Miller field,-100.547226,42.857777,,Aberdeen,-2.094278,57.149717,,Eurocopter AS 332L2 Super Puma 2,,,16,16,0,The helicopter crashed 35 miles East of Crimond in the North Sea while transporting oil workers. A mayday was received prior to the crash. Catastrophifailure of the main rotor gearbox.,0,4/1/2009Eurocopter AS 332L2 Super Puma 2
1/6/2009,0:15,"AtlantiOcean, 570 miles northeast of Natal, Brazil",AtlantiOcean,"570 miles northeast of Natal, Brazil",Air France,Others,447,Rio de Janeiro - Paris,Rio de Janeiro,-43.2007101,-22.9133954,,Paris,2.3522219,48.856614,,Airbus A330-203,F-GZCP,660,228,228,0,"The Airbus went missing over the AtlantiOcean on a flight from Rio de Janeiro to Paris, France. The plane departed from Rio de Janeiro-Galeao International Airport at 19:03 LT bound for Charles de Gaulle Airport in Paris. The last radio contact with the flight was at 01:33 UTC.  The aircraft left CINDACTA III radar coverage at 01:48 UTC, flying normally at FL350. The aircraft reportedly went through a thunderstorm with strong turbulence at 02:00 UTC. At 02:14 UTC an automated message was received indicating a failure of the electrical system. The plane carried 12 crew members and 216 passengers.",0,6/1/2009Airbus A330-203
3/5/2009,12:00,"Near El Alto de Rubio, Venezuela",Near El Alto de Rubio,Venezuela,Military - Venezuelan Army,Military,,Patrol,Patrol,107.7634576,-7.0073689,,,NA,NA,,Mi-35,EV08114,,18,18,0,The helicopter was patrolling along the Venezuelan / Colombian border when radar contact was lost.,0,5/3/2009Mi-35
4/1/2009,15:30,Near Houma Louisiana,Near Houma Louisiana,,Petroleum Helicopters Inc,Others,,Bayou Penchant - Off shore oil fields,Bayou Penchant,-91.1756584,29.6099334,,Off shore oil fields,NA,NA,,Sikorsky S-76C,N748P,760629,9,8,0,A helicopter bound for offshore oil fields went down about 75 miles southwest of New Orleans shortly after taking off.,0,1/4/2009Sikorsky S-76C
6/4/2009,12:30,"Bandung, Indonesia",Bandung,Indonesia,Military - Indonesian Air Force,Military,,Militiary training,Militiary training,74.0052984,15.3980333,,,NA,NA,,Fokker F-27 Friendship 400M,A-2703,10538,24,24,0,"While returning from a military training exercise, and attempting to land, the aircraft struck a hanger and burst into flames.",0,4/6/2009Fokker F-27 Friendship 400M
7/2/2009,14:00,"Manacapuru, Brazil",Manacapuru,Brazil,Aerotaxi Manaus,Others,,Coari - Manus,Coari,-63.1446104,-4.0944897,,Manus,146.8760951,-2.0941169,,Bandeirante EMB-110P1,PT-SEA,110352,28,24,0,"The plane was being used as an air taxi to ferry passengers between cities when it crashed in the Manacapuru River, 50 miles from Manus. The plane took off under warning of strong winds and rain. The crew asked permission to return shortly after takeoff because they lost an engine. The plane disappeared from radar and lost contact with ATC. The plane crashed into the river when the crew tried to land the plane on an abandoned runway in the town of Manacapuru.",3,2/7/2009Bandeirante EMB-110P1
7/2/2009,6:30,"Trigoria, Italy",Trigoria,Italy,Air One Executive,Others,,Rome - Bologna,Rome,12.4825199,41.8929163,,Bologna,11.3426163,44.494887,,Cessna 650 Citation III,I-FEEV,650-0105,2,2,0,"The plane, heading to Bologna to pick up a medical team from the Modena University Hospital, crashed shortly after taking off from Rome's Ciampino Airport.",0,2/7/2009Cessna 650 Citation III
8/6/2009,,"State of Arunachal Pradesh, India",State of Arunachal Pradesh,India,Military - Indian Air Force,Military,,Mechuka for Jorhat,Mechuka for Jorhat,94.20945,26.75602,,,NA,NA,,Antonov An-32,,,13,13,0,The military transport went missing while en route and might have crashed due to heavy rain in the mountainous region.,0,6/8/2009Antonov An-32
9/3/2009,5:40,"Lake Victoria, Uganda",Lake Victoria,Uganda,Aerolift,Cargo,,"Entebbe, Uganda - Mogadishu, Somalia",Entebbe,32.465,0.052784,Uganda,Mogadishu,45.35,2.0333333,Somalia,Ilyushin Il-76T,S9-SAB,73410301,11,11,0,The cargo plane carrying and water purification equipment crashed into Lake Victoria shortly after taking off.,0,3/9/2009Ilyushin Il-76T
9/4/2009,7:00,"Near Wamena, Indonesia",Near Wamena,Indonesia,Aviastar Mandiri,Cargo,,Jayapura - Wamena,Jayapura,140.717,-2.533,,Wamena,138.7593128,-4.2195623,,British Aerospace BAe-146-300,PK-BRD,E3189,6,6,0,The cargo plane crashed into Gunung Pike mountain while on approach and attempting to land at Wamena Airport.,0,4/9/2009British Aerospace BAe-146-300
